text,published_on,id,code,username,like_count,reply_count,image_count,videos,url,repost_count,keyword,emotion,language_context
Suresh Raina sends a message to CSK during the ongoing trade drama!,1762774017,3762743633254613431_63054399813,DQ382YJAQG3,cricshadow,249,0,,,https://www.threads.net/@cricshadow/post/DQ382YJAQG3,0,suicide,sad,english
"A refreshing time for Captain Shubman Gill ahead of the South Africa Test series! 🇮🇳🤍🤩

#INDvSA #Kolkata #Tests #Sportskeeda",1762782906,3762818187336346695_63478265328,DQ4NzSCj-xH,sportskeedacricket,172,0,,,https://www.threads.net/@sportskeedacricket/post/DQ4NzSCj-xH,0,suicide,sad,english
"me, who never drinks due to my auto immune disease, drinking wine 2 nights in a row and immediately getting buzzed both times",1762812923,3763070004061374739_63461164403,DQ5HDspAYkT,morallygreykay,49,0,,,https://www.threads.net/@morallygreykay/post/DQ5HDspAYkT,0,suicide,sad,english
"Ram Ram Sa 🙏..
#newvlog #trendingvlog #trend",1762756279,3762594821765192794_63511976304,DQ3bA4pCdxa,surma_seervi_58,1,0,,"['https://instagram.fala6-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQPFWtQUbSSO_nyo5YM1c2z1iUBKF9lTSe8INo48seftW7pYCKuL6_IQ1Kz8-3_R9jzyUIQ5AyGisFW9tak54BHLpShZS6yLp33b8QA.mp4?_nc_cat=103&_nc_oc=AdnN6RyzLEL_vNM2qtTRZItAgj0x0A6HtD0Kaq5HkW7L6RzssL0UepOG-Rd4kZ7KCn0&_nc_sid=5e9851&_nc_ht=instagram.fala6-1.fna.fbcdn.net&_nc_ohc=Om0jvMZuEnkQ7kNvwH7jRPy&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxMTgwMTg2NDI0MDczNTQyLCJhc3NldF9hZ2VfZGF5cyI6MCwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjEwNSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=b148e2563d545e14&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9CQTQ1MzVFOTlDQ0NDNEI3OUVDRjkyNEQxODVCMzM4RF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTU4tYmlJNXF6YkxlM1VGQUlqUmh4Y3Zhd3BhYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmjPWaifLXmAQVAigCQzMsF0Bae7ZFocrBGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XmnQEA&_nc_gid=azuA5tFpMI1y53pwWogztQ&_nc_zt=28&oh=00_AfjrY8mSg17Qi6RPvtVEFrvh2Y8VFqrrZiLUdHJLgQfbIQ&oe=691497EC', 'https://instagram.fala6-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQPFWtQUbSSO_nyo5YM1c2z1iUBKF9lTSe8INo48seftW7pYCKuL6_IQ1Kz8-3_R9jzyUIQ5AyGisFW9tak54BHLpShZS6yLp33b8QA.mp4?_nc_cat=103&_nc_oc=AdnN6RyzLEL_vNM2qtTRZItAgj0x0A6HtD0Kaq5HkW7L6RzssL0UepOG-Rd4kZ7KCn0&_nc_sid=5e9851&_nc_ht=instagram.fala6-1.fna.fbcdn.net&_nc_ohc=Om0jvMZuEnkQ7kNvwH7jRPy&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxMTgwMTg2NDI0MDczNTQyLCJhc3NldF9hZ2VfZGF5cyI6MCwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjEwNSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=b148e2563d545e14&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9CQTQ1MzVFOTlDQ0NDNEI3OUVDRjkyNEQxODVCMzM4RF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTU4tYmlJNXF6YkxlM1VGQUlqUmh4Y3Zhd3BhYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmjPWaifLXmAQVAigCQzMsF0Bae7ZFocrBGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XmnQEA&_nc_gid=azuA5tFpMI1y53pwWogztQ&_nc_zt=28&oh=00_AfjrY8mSg17Qi6RPvtVEFrvh2Y8VFqrrZiLUdHJLgQfbIQ&oe=691497EC', 'https://instagram.fala6-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQPFWtQUbSSO_nyo5YM1c2z1iUBKF9lTSe8INo48seftW7pYCKuL6_IQ1Kz8-3_R9jzyUIQ5AyGisFW9tak54BHLpShZS6yLp33b8QA.mp4?_nc_cat=103&_nc_oc=AdnN6RyzLEL_vNM2qtTRZItAgj0x0A6HtD0Kaq5HkW7L6RzssL0UepOG-Rd4kZ7KCn0&_nc_sid=5e9851&_nc_ht=instagram.fala6-1.fna.fbcdn.net&_nc_ohc=Om0jvMZuEnkQ7kNvwH7jRPy&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxMTgwMTg2NDI0MDczNTQyLCJhc3NldF9hZ2VfZGF5cyI6MCwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjEwNSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=b148e2563d545e14&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9CQTQ1MzVFOTlDQ0NDNEI3OUVDRjkyNEQxODVCMzM4RF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTU4tYmlJNXF6YkxlM1VGQUlqUmh4Y3Zhd3BhYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmjPWaifLXmAQVAigCQzMsF0Bae7ZFocrBGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XmnQEA&_nc_gid=azuA5tFpMI1y53pwWogztQ&_nc_zt=28&oh=00_AfjrY8mSg17Qi6RPvtVEFrvh2Y8VFqrrZiLUdHJLgQfbIQ&oe=691497EC']",https://www.threads.net/@surma_seervi_58/post/DQ3bA4pCdxa,0,suicide,sad,english
"Anybody seen any deep-dive journalism/reportage on the guy arrested for shooting Charlie Kirk? On the guy killed after ""shooting"" at Trump's ear? On the much ballyhooed audit of the gold in Fort Knox? On where exactly the absent First Lady is spending her days and nights? (Hint, not in the White House.) On why the Beast drove Trump to Walter Reed last Friday before he flew to Florida? Anyone on any of this? @nytimes @wsj @cnn",1762812530,3763066708798576034_63383911968,DQ5GTvsCZWi,infiniteelaine,2271,0,,,https://www.threads.net/@infiniteelaine/post/DQ5GTvsCZWi,0,suicide,sad,english
"September is Suicide Awareness Month  a reminder that your mental health matters and so do you. If you’re ever struggling, please reach out to me. You don’t have to face it alone.",1756769994,3712378123271843579_63069762265,DOFBDvtjK77,babyangel.jpg,10713,0,,"['https://instagram.fala6-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQOWSUnObUKIJmOL2Mh9OKYNkTPtV8nsDkXmILpb74OteiDr2nU5qogjEM3VF9Rn6Bckzb-ay8ZR4jwT7V9mNPcPRD5bs6ZGQfLR49g.mp4?_nc_cat=104&_nc_oc=AdnwdL5PSnrVTEhxX6ZM71uAcs4AJR2VDc6l-XA3Ep-egnwylHcpze-Xrgve9wjs8G8&_nc_sid=5e9851&_nc_ht=instagram.fala6-1.fna.fbcdn.net&_nc_ohc=FWHuE22iahkQ7kNvwFe6Asv&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy45NjguZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxNzk2NDg3OTQxMjU5NzI4LCJhc3NldF9hZ2VfZGF5cyI6NzAsInZpX3VzZWNhc2VfaWQiOjEwMTY0LCJkdXJhdGlvbl9zIjoyNSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=5a4ba1f7f049779b&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC8yRTQzQTVEMDBFRTExMjVGNEM5ODg5QkYzRDRGRjZBMF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRjc0WGlBVjMtU1J4bXdGQUJ2T0xXMTgyZzh1YmtZTEFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmoIeoma75sAYVAigCQzMsF0A5iHKwIMScGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=azuA5tFpMI1y53pwWogztQ&_nc_zt=28&oh=00_AfhAbs7tXPsbjGcJeQN5NolUJq_WRdpse9Hoa4_4DHpKEg&oe=69148D14', 'https://instagram.fala6-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQOWSUnObUKIJmOL2Mh9OKYNkTPtV8nsDkXmILpb74OteiDr2nU5qogjEM3VF9Rn6Bckzb-ay8ZR4jwT7V9mNPcPRD5bs6ZGQfLR49g.mp4?_nc_cat=104&_nc_oc=AdnwdL5PSnrVTEhxX6ZM71uAcs4AJR2VDc6l-XA3Ep-egnwylHcpze-Xrgve9wjs8G8&_nc_sid=5e9851&_nc_ht=instagram.fala6-1.fna.fbcdn.net&_nc_ohc=FWHuE22iahkQ7kNvwFe6Asv&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy45NjguZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxNzk2NDg3OTQxMjU5NzI4LCJhc3NldF9hZ2VfZGF5cyI6NzAsInZpX3VzZWNhc2VfaWQiOjEwMTY0LCJkdXJhdGlvbl9zIjoyNSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=5a4ba1f7f049779b&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC8yRTQzQTVEMDBFRTExMjVGNEM5ODg5QkYzRDRGRjZBMF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRjc0WGlBVjMtU1J4bXdGQUJ2T0xXMTgyZzh1YmtZTEFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmoIeoma75sAYVAigCQzMsF0A5iHKwIMScGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=azuA5tFpMI1y53pwWogztQ&_nc_zt=28&oh=00_AfhAbs7tXPsbjGcJeQN5NolUJq_WRdpse9Hoa4_4DHpKEg&oe=69148D14', 'https://instagram.fala6-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQOWSUnObUKIJmOL2Mh9OKYNkTPtV8nsDkXmILpb74OteiDr2nU5qogjEM3VF9Rn6Bckzb-ay8ZR4jwT7V9mNPcPRD5bs6ZGQfLR49g.mp4?_nc_cat=104&_nc_oc=AdnwdL5PSnrVTEhxX6ZM71uAcs4AJR2VDc6l-XA3Ep-egnwylHcpze-Xrgve9wjs8G8&_nc_sid=5e9851&_nc_ht=instagram.fala6-1.fna.fbcdn.net&_nc_ohc=FWHuE22iahkQ7kNvwFe6Asv&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy45NjguZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxNzk2NDg3OTQxMjU5NzI4LCJhc3NldF9hZ2VfZGF5cyI6NzAsInZpX3VzZWNhc2VfaWQiOjEwMTY0LCJkdXJhdGlvbl9zIjoyNSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=5a4ba1f7f049779b&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC8yRTQzQTVEMDBFRTExMjVGNEM5ODg5QkYzRDRGRjZBMF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRjc0WGlBVjMtU1J4bXdGQUJ2T0xXMTgyZzh1YmtZTEFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmoIeoma75sAYVAigCQzMsF0A5iHKwIMScGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=azuA5tFpMI1y53pwWogztQ&_nc_zt=28&oh=00_AfhAbs7tXPsbjGcJeQN5NolUJq_WRdpse9Hoa4_4DHpKEg&oe=69148D14']",https://www.threads.net/@babyangel.jpg/post/DOFBDvtjK77,0,suicide,sad,english
Time never heals. I’ve been waiting years and years. I’m over everything. I don’t wanna try anymore.,1756775644,3712425638696436621_76879724274,DOFL3L5jcON,emmyssmommyy,45,0,,,https://www.threads.net/@emmyssmommyy/post/DOFL3L5jcON,0,suicide,sad,english
But time doesn't heal anything but thanks,1756771181,3712388195968140020_64003262383,DOFDWUpCML0,kris_grym,25,0,,,https://www.threads.net/@kris_grym/post/DOFDWUpCML0,0,suicide,sad,english
Hoping to give strength and hope through my music. 🌹,1759032097,3731353842853200606_77022665695,DPIbozujcLe,melodi__rose,0,0,,"['https://instagram.fala6-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQMh0e3ak6uu_PCvrpMGbkDWRGGs_LvjRu96O1IQkptCkwmjOzq4citV3hm9R91w_LjjtXam9qMxX1YMvK4s6kFa0lGAGfLxpET-0_M.mp4?_nc_cat=109&_nc_oc=AdkWFHPpdTJLINr-iqCMH2Sq0Kz6Cef_K7eJQ00ZpesOUJphQ4wboCpjLvzHrpnDpC0&_nc_sid=5e9851&_nc_ht=instagram.fala6-1.fna.fbcdn.net&_nc_ohc=wc5CkYwbrqkQ7kNvwEAgsGA&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxMzE0OTA5MTI2OTY2ODUyLCJhc3NldF9hZ2VfZGF5cyI6NDQsInZpX3VzZWNhc2VfaWQiOjEwMTY0LCJkdXJhdGlvbl9zIjo3MCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=91ba74f9e304baae&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9FMjQ5NkRDQjhBQkYxQTRDNkMyOERCOEM5MDVEODM5Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRjdZRXlFakRhejVCUHNJQVBnQWpjQl9ZZFJjYmtZTEFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmiPnltuT51QQVAigCQzMsF0BRszMzMzMzGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=azuA5tFpMI1y53pwWogztQ&_nc_zt=28&oh=00_AfjronDpEVOSJf7VDPyFJ1LBQYcJ3qlqEN3BApBXEA4pig&oe=69148C3B', 'https://instagram.fala6-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQMh0e3ak6uu_PCvrpMGbkDWRGGs_LvjRu96O1IQkptCkwmjOzq4citV3hm9R91w_LjjtXam9qMxX1YMvK4s6kFa0lGAGfLxpET-0_M.mp4?_nc_cat=109&_nc_oc=AdkWFHPpdTJLINr-iqCMH2Sq0Kz6Cef_K7eJQ00ZpesOUJphQ4wboCpjLvzHrpnDpC0&_nc_sid=5e9851&_nc_ht=instagram.fala6-1.fna.fbcdn.net&_nc_ohc=wc5CkYwbrqkQ7kNvwEAgsGA&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxMzE0OTA5MTI2OTY2ODUyLCJhc3NldF9hZ2VfZGF5cyI6NDQsInZpX3VzZWNhc2VfaWQiOjEwMTY0LCJkdXJhdGlvbl9zIjo3MCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=91ba74f9e304baae&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9FMjQ5NkRDQjhBQkYxQTRDNkMyOERCOEM5MDVEODM5Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRjdZRXlFakRhejVCUHNJQVBnQWpjQl9ZZFJjYmtZTEFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmiPnltuT51QQVAigCQzMsF0BRszMzMzMzGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=azuA5tFpMI1y53pwWogztQ&_nc_zt=28&oh=00_AfjronDpEVOSJf7VDPyFJ1LBQYcJ3qlqEN3BApBXEA4pig&oe=69148C3B', 'https://instagram.fala6-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQMh0e3ak6uu_PCvrpMGbkDWRGGs_LvjRu96O1IQkptCkwmjOzq4citV3hm9R91w_LjjtXam9qMxX1YMvK4s6kFa0lGAGfLxpET-0_M.mp4?_nc_cat=109&_nc_oc=AdkWFHPpdTJLINr-iqCMH2Sq0Kz6Cef_K7eJQ00ZpesOUJphQ4wboCpjLvzHrpnDpC0&_nc_sid=5e9851&_nc_ht=instagram.fala6-1.fna.fbcdn.net&_nc_ohc=wc5CkYwbrqkQ7kNvwEAgsGA&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxMzE0OTA5MTI2OTY2ODUyLCJhc3NldF9hZ2VfZGF5cyI6NDQsInZpX3VzZWNhc2VfaWQiOjEwMTY0LCJkdXJhdGlvbl9zIjo3MCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=91ba74f9e304baae&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9FMjQ5NkRDQjhBQkYxQTRDNkMyOERCOEM5MDVEODM5Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRjdZRXlFakRhejVCUHNJQVBnQWpjQl9ZZFJjYmtZTEFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmiPnltuT51QQVAigCQzMsF0BRszMzMzMzGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=azuA5tFpMI1y53pwWogztQ&_nc_zt=28&oh=00_AfjronDpEVOSJf7VDPyFJ1LBQYcJ3qlqEN3BApBXEA4pig&oe=69148C3B']",https://www.threads.net/@melodi__rose/post/DPIbozujcLe,0,suicide,sad,english
Here for those struggling even ‘to reach out’...you are not alone 🤍,1756788672,3712534921958183265_63056853828,DOFktd3jNFh,heyfaithyeh,14,0,,,https://www.threads.net/@heyfaithyeh/post/DOFktd3jNFh,0,suicide,sad,english
